"year","countryCode","species","n_observations","country_name"
1965,"SE","Calidris maritima",20,"Sweden"
1965,"SE","Calidris minuta",94,"Sweden"
1965,"SE","Calidris temminckii",126,"Sweden"
1966,"FI","Calidris alba",2,"Finland"
1966,"FI","Calidris alpina",123,"Finland"
1966,"FI","Calidris ferruginea",15,"Finland"
1966,"FI","Calidris minuta",141,"Finland"
1966,"FI","Calidris temminckii",111,"Finland"
1966,"NO","Calidris alba",14,"Norway"
1966,"NO","Calidris ferruginea",6,"Norway"
1966,"NO","Calidris maritima",9,"Norway"
1966,"NO","Calidris minuta",38,"Norway"
1966,"NO","Calidris temminckii",33,"Norway"
1966,"SE","Calidris alba",48,"Sweden"
1966,"SE","Calidris alpina",12,"Sweden"
1966,"SE","Calidris ferruginea",83,"Sweden"
1966,"SE","Calidris maritima",20,"Sweden"
1966,"SE","Calidris minuta",94,"Sweden"
1966,"SE","Calidris temminckii",145,"Sweden"
1967,"FI","Calidris alba",2,"Finland"
1967,"FI","Calidris alpina",72,"Finland"
1967,"FI","Calidris ferruginea",15,"Finland"
1967,"FI","Calidris maritima",2,"Finland"
1967,"FI","Calidris minuta",84,"Finland"
1967,"FI","Calidris temminckii",141,"Finland"
1967,"NO","Calidris alba",19,"Norway"
1967,"NO","Calidris ferruginea",14,"Norway"
1967,"NO","Calidris maritima",20,"Norway"
1967,"NO","Calidris minuta",39,"Norway"
1967,"NO","Calidris temminckii",24,"Norway"
1967,"SE","Calidris alba",42,"Sweden"
1967,"SE","Calidris alpina",2,"Sweden"
1967,"SE","Calidris ferruginea",75,"Sweden"
1967,"SE","Calidris maritima",25,"Sweden"
1967,"SE","Calidris minuta",115,"Sweden"
1967,"SE","Calidris temminckii",142,"Sweden"
1968,"FI","Calidris alpina",37,"Finland"
1968,"FI","Calidris ferruginea",4,"Finland"
1968,"FI","Calidris maritima",1,"Finland"
1968,"FI","Calidris minuta",5,"Finland"
1968,"FI","Calidris temminckii",127,"Finland"
